pk,num_passengers,sales_channel,trip_type,purchase_lead,length_of_stay,flight_hour,flight_day,route,booking_origin,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration,booking_complete
14830,1,Internet,RoundTrip,55,88,7,Thu,IKAPER,Australia,1,0,1,8.15,Fail
14831,1,Mobile,RoundTrip,66,62,15,Fri,IKAPER,Australia,1,1,1,8.15,Fail
14832,1,Internet,RoundTrip,13,29,3,Thu,IKAPER,Australia,1,1,1,8.15,Fail
14833,2,Internet,RoundTrip,71,22,7,Sun,IKAPER,Australia,1,0,1,8.15,Fail
14834,1,Internet,RoundTrip,142,27,6,Mon,IKAPER,Australia,1,0,0,8.15,Fail
14835,2,Internet,RoundTrip,54,55,15,Wed,IKAPER,Australia,1,0,1,8.15,Fail
14836,3,Internet,RoundTrip,157,20,10,Sun,IKAPER,Australia,1,0,1,8.15,Fail
14837,1,Internet,RoundTrip,125,24,3,Mon,IKAPUS,South Korea,1,0,1,8.15,Fail
14838,1,Internet,RoundTrip,33,35,13,Fri,IKAPUS,South Korea,0,0,0,8.15,Fail
14839,2,Internet,RoundTrip,41,59,6,Mon,IKAPUS,South Korea,1,1,1,8.15,Fail
14840,1,Internet,RoundTrip,1,30,6,Wed,IKAPVG,China,1,0,0,8.15,Fail
14841,1,Internet,RoundTrip,148,24,19,Sun,IKAPVG,China,0,0,0,8.15,Fail
14842,2,Internet,RoundTrip,10,29,1,Sat,IKASGN,Vietnam,0,0,0,8.15,Fail
14843,1,Internet,RoundTrip,7,33,6,Tue,IKASGN,Vietnam,1,1,0,8.15,Fail
14844,1,Internet,RoundTrip,41,21,10,Wed,IKASIN,Singapore,0,0,1,8.15,Fail
14845,1,Internet,RoundTrip,66,21,4,Thu,IKASIN,Singapore,0,0,1,8.15,Fail
14846,1,Internet,RoundTrip,15,17,6,Wed,IKASIN,Singapore,1,1,1,8.15,Fail
14847,1,Internet,RoundTrip,3,17,15,Mon,IKASIN,Singapore,1,1,1,8.15,Fail
14848,1,Internet,RoundTrip,77,18,5,Wed,IKASIN,Singapore,1,0,0,8.15,Fail
14849,1,Internet,RoundTrip,81,18,17,Sat,IKASIN,Singapore,0,0,0,8.15,Fail
14850,2,Internet,RoundTrip,25,17,13,Wed,IKASIN,Indonesia,0,0,0,8.15,Fail
14851,1,Internet,RoundTrip,77,18,6,Wed,IKASIN,Singapore,1,0,0,8.15,Fail
14852,1,Internet,RoundTrip,16,20,15,Tue,IKASIN,Singapore,0,0,0,8.15,Fail
14853,1,Internet,RoundTrip,44,19,11,Sun,IKASIN,Singapore,0,0,0,8.15,Fail
14854,1,Internet,RoundTrip,73,25,3,Thu,IKASIN,Singapore,0,0,0,8.15,Fail
14855,2,Internet,RoundTrip,1,19,18,Mon,IKASIN,Singapore,1,1,0,8.15,Fail
14856,1,Internet,RoundTrip,57,17,15,Wed,IKASIN,Singapore,0,0,0,8.15,Fail
14857,1,Internet,RoundTrip,48,18,7,Thu,IKASIN,Singapore,1,0,0,8.15,Fail
14858,1,Internet,RoundTrip,71,26,15,Wed,IKASIN,Singapore,1,0,1,8.15,Fail
14859,2,Internet,RoundTrip,71,17,13,Wed,IKASIN,Singapore,1,1,1,8.15,Fail
14860,1,Internet,RoundTrip,343,26,9,Tue,IKASUB,Indonesia,1,0,1,8.15,Fail
14861,1,Internet,RoundTrip,12,26,12,Sat,IKASUB,Indonesia,1,1,1,8.15,Fail
14862,1,Internet,RoundTrip,106,26,5,Mon,IKASUB,Indonesia,0,0,1,8.15,Fail
14863,1,Internet,RoundTrip,115,33,4,Mon,IKASYD,Australia,1,1,1,8.58,Fail
14864,1,Internet,RoundTrip,1,22,11,Mon,IKASYD,Australia,1,1,1,8.58,Fail
14865,3,Internet,RoundTrip,111,43,14,Wed,IKASYD,Australia,1,0,1,8.58,Fail
14866,1,Internet,RoundTrip,55,30,23,Wed,IKASYD,Australia,1,0,1,8.58,Fail
14867,3,Internet,RoundTrip,99,29,7,Tue,IKASYD,Australia,0,0,0,8.58,Fail
14868,1,Internet,RoundTrip,197,35,4,Wed,IKASYD,Australia,1,1,1,8.58,Fail
14869,2,Internet,OneWay,142,22,12,Mon,IKASYD,Australia,1,1,1,8.58,Fail
14870,1,Mobile,RoundTrip,45,29,0,Sat,IKASYD,Australia,1,0,1,8.58,Fail
14871,2,Internet,RoundTrip,106,17,11,Wed,IKASYD,Australia,1,0,0,8.58,Fail
14872,1,Mobile,RoundTrip,81,35,2,Wed,IKASYD,Australia,1,0,1,8.58,Fail
14873,1,Internet,RoundTrip,54,30,21,Thu,IKASYD,Australia,1,0,1,8.58,Fail
14874,2,Internet,RoundTrip,19,35,11,Tue,IKASYD,Australia,1,0,1,8.58,Fail
14875,1,Internet,RoundTrip,6,36,9,Wed,IKASYD,Australia,0,0,0,8.58,Fail
14876,3,Internet,RoundTrip,118,28,7,Fri,IKASYD,Germany,1,1,1,8.58,Fail
14877,2,Internet,RoundTrip,96,28,9,Sat,IKASYD,Australia,1,1,1,8.58,Fail
14878,1,Internet,RoundTrip,31,24,14,Wed,IKASYD,Australia,1,1,0,8.58,Fail
14879,1,Internet,RoundTrip,20,33,11,Sun,IKASYD,Australia,1,1,1,8.58,Fail
14880,2,Internet,RoundTrip,55,170,15,Wed,IKASYD,Australia,1,1,1,8.58,Fail
14881,2,Internet,RoundTrip,34,21,1,Wed,IKASYD,Australia,0,0,1,8.58,Fail
14882,1,Internet,RoundTrip,3,28,5,Thu,IKASYD,Australia,1,1,1,8.58,Fail
14883,1,Internet,RoundTrip,95,22,4,Fri,IKASYD,Australia,0,0,1,8.58,Fail
14884,1,Internet,RoundTrip,31,20,7,Fri,IKASYD,Australia,1,0,0,8.58,Fail
14885,1,Internet,RoundTrip,57,70,6,Sat,IKASYD,Australia,1,1,1,8.58,Fail
14886,1,Internet,RoundTrip,64,34,9,Tue,IKASYD,Australia,1,0,1,8.58,Fail
14887,1,Mobile,RoundTrip,42,65,9,Tue,IKASYD,Australia,1,1,1,8.58,Fail
14888,1,Internet,RoundTrip,13,21,7,Fri,IKASYD,Australia,1,0,0,8.58,Fail
14889,1,Mobile,RoundTrip,18,21,6,Fri,IKASYD,Iran,0,0,0,8.58,Fail
14890,2,Internet,RoundTrip,241,19,10,Wed,IKASYD,Australia,1,1,0,8.58,Fail
14891,1,Internet,CircleTrip,69,21,22,Mon,IKASYD,Australia,1,1,1,8.58,Fail
14892,1,Internet,RoundTrip,38,42,12,Mon,IKASYD,Australia,1,0,1,8.58,Fail
14893,1,Internet,RoundTrip,110,207,12,Tue,IKASYD,Australia,1,1,1,8.58,Fail
14894,1,Internet,RoundTrip,9,84,12,Mon,IKASYD,Australia,0,0,1,8.58,Fail
14895,1,Internet,RoundTrip,31,49,7,Sun,IKASYD,Australia,1,0,1,8.58,Fail
14896,1,Internet,RoundTrip,30,21,6,Fri,IKASYD,Australia,1,1,1,8.58,Fail
14897,1,Internet,CircleTrip,16,42,11,Tue,IKASYD,Australia,1,1,0,8.58,Fail
14898,1,Internet,RoundTrip,51,35,1,Tue,IKASYD,Australia,1,0,1,8.58,Fail
14899,1,Mobile,RoundTrip,57,32,6,Sat,IKASYD,Australia,1,1,1,8.58,Fail
14900,2,Internet,RoundTrip,155,17,10,Wed,IKASYD,Australia,0,1,1,8.58,Fail
14901,2,Internet,RoundTrip,21,32,1,Sun,IKASYD,Australia,1,0,1,8.58,Fail
14902,2,Internet,RoundTrip,20,35,1,Fri,IKASYD,Australia,1,0,1,8.58,Fail
14903,1,Mobile,RoundTrip,18,84,2,Fri,IKASYD,Australia,1,1,0,8.58,Fail
14904,1,Mobile,RoundTrip,145,34,3,Sat,IKASYD,Australia,0,0,0,8.58,Fail
14905,2,Mobile,RoundTrip,19,32,9,Fri,IKASYD,Australia,1,0,1,8.58,Fail
14906,1,Internet,RoundTrip,147,17,7,Thu,IKASYD,Australia,0,0,1,8.58,Fail
14907,1,Internet,RoundTrip,69,28,10,Wed,IKASYD,New Zealand,1,0,0,8.58,Fail
14908,1,Internet,RoundTrip,2,24,13,Tue,IKASYD,Australia,0,0,1,8.58,Fail
14909,4,Internet,RoundTrip,11,34,2,Sun,IKASYD,Australia,1,0,1,8.58,Fail
14910,1,Internet,RoundTrip,48,28,7,Fri,IKASYD,Australia,1,0,1,8.58,Fail
14911,1,Mobile,RoundTrip,134,29,2,Tue,IKASYD,Iran,1,1,0,8.58,Fail
14912,3,Internet,RoundTrip,32,29,12,Fri,IKASYD,Australia,1,0,0,8.58,Fail
14913,1,Internet,RoundTrip,12,18,4,Thu,IKASYD,Australia,0,0,0,8.58,Fail
14914,3,Internet,RoundTrip,197,35,1,Mon,IKASYD,Australia,1,1,1,8.58,Fail
14915,2,Mobile,RoundTrip,62,230,10,Thu,IKASYD,Australia,1,1,1,8.58,Fail
14916,1,Internet,RoundTrip,54,21,9,Thu,IKASYD,Australia,1,0,0,8.58,Fail
14917,1,Internet,RoundTrip,110,63,12,Tue,IKASYD,Australia,1,1,1,8.58,Fail
14918,3,Internet,RoundTrip,79,28,12,Mon,IKASYD,Australia,1,1,1,8.58,Fail
14919,3,Internet,RoundTrip,96,25,21,Sat,IKASYD,Canada,1,0,1,8.58,Fail
14920,1,Internet,RoundTrip,29,19,12,Mon,IKASYD,Australia,1,0,0,8.58,Fail
14921,1,Internet,RoundTrip,17,18,10,Thu,IKASYD,Australia,1,0,0,8.58,Fail
14922,1,Internet,RoundTrip,22,18,10,Sat,IKASYD,Australia,1,0,0,8.58,Fail
14923,2,Internet,RoundTrip,49,50,6,Wed,IKASYD,Turkey,0,0,1,8.58,Fail
14924,1,Internet,RoundTrip,22,35,7,Mon,IKASYD,Australia,0,1,0,8.58,Fail
14925,2,Internet,RoundTrip,38,40,8,Wed,IKASYD,Australia,1,0,0,8.58,Fail
14926,1,Internet,RoundTrip,26,17,6,Mon,IKASYD,Australia,1,0,1,8.58,Fail
14927,1,Internet,RoundTrip,21,30,0,Sun,IKASYD,Australia,1,0,1,8.58,Fail
14928,1,Internet,RoundTrip,56,34,12,Mon,IKASYD,Australia,1,0,1,8.58,Fail
14929,2,Internet,RoundTrip,63,19,4,Sat,IKASYD,Australia,1,0,1,8.58,Fail
14930,1,Internet,RoundTrip,6,23,11,Mon,IKASYD,Australia,1,1,1,8.58,Fail
14931,4,Internet,RoundTrip,26,19,4,Mon,IKASYD,Australia,1,1,1,8.58,Fail
14932,1,Internet,RoundTrip,124,32,7,Fri,IKASYD,Australia,1,0,1,8.58,Fail
14933,1,Internet,RoundTrip,199,19,12,Mon,IKASYD,Australia,1,1,0,8.58,Fail
14934,2,Internet,RoundTrip,22,34,8,Wed,IKASYD,Australia,1,0,0,8.58,Fail
14935,1,Internet,RoundTrip,94,52,3,Thu,IKASYD,Australia,1,1,1,8.58,Fail
14936,1,Internet,RoundTrip,15,31,6,Sat,IKASYD,Singapore,1,0,1,8.58,Fail
14937,1,Internet,RoundTrip,133,30,4,Tue,IKASYD,Australia,1,0,1,8.58,Fail
14938,2,Internet,RoundTrip,23,32,12,Tue,IKASYD,Australia,1,1,1,8.58,Fail
14939,1,Internet,RoundTrip,46,26,5,Fri,IKASYD,Australia,1,0,1,8.58,Fail
14940,1,Internet,RoundTrip,14,20,10,Mon,IKASYD,Australia,0,1,1,8.58,Fail
14941,4,Internet,RoundTrip,199,19,11,Mon,IKASYD,Australia,1,1,0,8.58,Fail
14942,1,Internet,RoundTrip,17,28,8,Mon,IKASYD,Australia,1,1,1,8.58,Fail
14943,2,Mobile,RoundTrip,25,18,8,Wed,IKASYD,Australia,1,1,1,8.58,Fail
14944,3,Internet,RoundTrip,97,26,3,Sun,IKASYD,Australia,1,0,1,8.58,Fail
14945,1,Internet,RoundTrip,18,26,11,Tue,IKASYD,Australia,1,1,1,8.58,Fail
14946,1,Internet,RoundTrip,35,79,16,Sun,IKASYD,Australia,1,1,1,8.58,Fail
14947,3,Internet,RoundTrip,23,272,14,Mon,IKASYD,Australia,1,0,1,8.58,Fail
14948,1,Internet,CircleTrip,53,25,2,Sat,IKASYD,Australia,1,0,1,8.58,Fail
14949,1,Internet,RoundTrip,2,19,11,Tue,IKASYD,Australia,0,0,0,8.58,Fail
14950,1,Internet,RoundTrip,47,61,8,Thu,IKASYD,Australia,1,0,0,8.58,Fail
14951,2,Internet,RoundTrip,18,22,8,Tue,IKASYD,Australia,1,1,1,8.58,Fail
14952,1,Internet,RoundTrip,51,31,11,Tue,IKASYD,Australia,1,0,1,8.58,Fail
14953,1,Mobile,RoundTrip,152,19,20,Mon,IKASYD,Australia,1,1,1,8.58,Fail
14954,1,Internet,RoundTrip,10,30,10,Sat,IKASYD,Australia,1,1,1,8.58,Fail
14955,1,Internet,RoundTrip,7,168,12,Thu,IKASYD,Australia,1,1,1,8.58,Fail
14956,4,Internet,RoundTrip,22,49,0,Mon,IKASYD,Australia,1,0,0,8.58,Fail
14957,2,Internet,RoundTrip,75,128,12,Thu,IKASYD,Australia,1,1,1,8.58,Fail
14958,1,Internet,RoundTrip,81,26,9,Fri,IKASYD,United States,1,0,1,8.58,Fail
14959,2,Internet,RoundTrip,9,26,12,Thu,IKATPE,Taiwan,1,0,1,8.15,Fail
14960,1,Internet,RoundTrip,22,27,21,Tue,IKATPE,Germany,0,0,0,8.15,Fail
14961,2,Internet,RoundTrip,341,17,11,Mon,IKATPE,Taiwan,0,0,0,8.15,Fail
14962,2,Internet,RoundTrip,217,24,17,Sat,IKATPE,Taiwan,1,0,0,8.15,Fail
14963,1,Internet,RoundTrip,70,41,8,Wed,IKATPE,Taiwan,0,0,0,8.15,Fail
14964,1,Internet,RoundTrip,14,20,7,Mon,IKATPE,Taiwan,1,0,1,8.15,Fail
14965,1,Internet,RoundTrip,30,29,18,Mon,IKATPE,Taiwan,1,0,0,8.15,Fail
14966,1,Internet,RoundTrip,111,29,15,Tue,IKATPE,Taiwan,1,0,1,8.15,Fail
14967,2,Internet,RoundTrip,37,26,11,Mon,IKATPE,United States,1,0,1,8.15,Fail
14968,1,Internet,RoundTrip,185,18,20,Sun,IKATPE,Poland,1,0,1,8.15,Fail
14969,1,Internet,RoundTrip,24,17,3,Wed,IKATPE,Taiwan,1,1,1,8.15,Fail
14970,1,Internet,RoundTrip,25,20,5,Thu,IKATPE,Taiwan,1,1,1,8.15,Fail
14971,4,Internet,RoundTrip,289,17,2,Thu,JEDJOG,Indonesia,1,0,1,9.5,Fail
14972,2,Internet,CircleTrip,142,25,17,Fri,JEDKNO,Indonesia,0,0,0,9.5,Success
14973,1,Mobile,RoundTrip,328,30,9,Mon,JEDKNO,Saudi Arabia,0,1,1,9.5,Fail
14974,2,Mobile,RoundTrip,299,30,6,Tue,JEDKNO,Indonesia,0,1,1,9.5,Fail
14975,1,Internet,RoundTrip,75,125,11,Mon,JEDMEL,Saudi Arabia,1,0,0,9.5,Fail
14976,3,Internet,RoundTrip,60,35,13,Wed,JEDMEL,Saudi Arabia,1,0,1,9.5,Fail
14977,2,Internet,RoundTrip,1,46,12,Mon,JEDMNL,Saudi Arabia,1,1,1,9.5,Fail
14978,1,Internet,RoundTrip,23,29,18,Tue,JEDMNL,Saudi Arabia,1,0,0,9.5,Fail
14979,4,Mobile,RoundTrip,16,22,3,Thu,JEDPDG,Indonesia,1,0,1,9.5,Fail
14980,2,Internet,RoundTrip,25,18,17,Sat,JEDPEN,Malaysia,1,0,0,9.5,Success
14981,5,Internet,RoundTrip,25,24,8,Tue,JEDSUB,Indonesia,1,0,1,9.5,Fail
14982,1,Internet,RoundTrip,13,27,5,Tue,JEDSUB,Indonesia,1,0,1,9.5,Fail
14983,1,Internet,RoundTrip,25,18,5,Sat,JEDSUB,Indonesia,1,0,1,9.5,Fail
14984,1,Internet,RoundTrip,29,28,13,Tue,JEDSUB,Indonesia,1,0,1,9.5,Fail
14985,3,Internet,RoundTrip,19,29,9,Wed,JEDSUB,Indonesia,1,0,1,9.5,Fail
14986,3,Mobile,RoundTrip,10,29,13,Fri,JEDSUB,Indonesia,1,0,1,9.5,Fail
14987,2,Internet,RoundTrip,27,27,1,Tue,JEDSUB,Indonesia,1,0,1,9.5,Fail
14988,1,Internet,RoundTrip,18,25,3,Mon,JEDSUB,Indonesia,0,0,1,9.5,Fail
14989,1,Internet,RoundTrip,37,50,12,Mon,JHBKIX,Malaysia,0,0,0,7.0,Fail
14990,1,Internet,RoundTrip,120,85,10,Sat,JHBKIX,Japan,1,1,1,7.0,Fail
14991,1,Internet,RoundTrip,7,42,2,Wed,JHBKIX,Malaysia,1,0,1,7.0,Fail
14992,1,Internet,RoundTrip,221,37,5,Mon,JHBKIX,Japan,1,0,1,7.0,Fail
14993,1,Internet,RoundTrip,19,89,1,Fri,JHBKIX,Malaysia,1,0,1,7.0,Fail
14994,1,Internet,RoundTrip,6,64,2,Wed,JHBKIX,Malaysia,1,0,1,7.0,Fail
14995,1,Internet,RoundTrip,1,43,15,Sun,JHBKIX,Malaysia,1,0,0,7.0,Fail
14996,1,Internet,RoundTrip,18,148,11,Fri,JHBKIX,Japan,1,0,1,7.0,Fail
14997,1,Internet,RoundTrip,90,34,7,Sat,JHBKIX,Japan,1,0,1,7.0,Fail
14998,1,Internet,RoundTrip,29,40,15,Thu,JHBKIX,Japan,1,0,1,7.0,Fail
14999,2,Internet,RoundTrip,73,17,6,Wed,JHBKIX,Malaysia,1,1,0,7.0,Success
15000,1,Internet,RoundTrip,2,73,7,Tue,JHBKIX,Japan,1,1,1,7.0,Fail
15001,1,Internet,RoundTrip,105,35,4,Sun,JHBKIX,Japan,1,0,0,7.0,Fail
15002,1,Internet,RoundTrip,15,59,6,Wed,JHBKTM,Malaysia,1,0,0,4.75,Success
15003,2,Internet,RoundTrip,38,65,2,Fri,JHBKTM,Malaysia,1,0,0,4.75,Success
15004,1,Internet,RoundTrip,56,62,8,Fri,JHBKTM,Malaysia,1,0,0,4.75,Fail
15005,2,Internet,RoundTrip,7,64,1,Thu,JHBKTM,Malaysia,1,0,0,4.75,Success
15006,1,Internet,RoundTrip,4,42,3,Thu,JHBKTM,Malaysia,1,0,0,4.75,Success
15007,3,Internet,RoundTrip,10,61,7,Tue,JHBKTM,Malaysia,1,0,0,4.75,Fail
15008,1,Internet,RoundTrip,6,60,2,Sat,JHBKTM,Malaysia,1,0,0,4.75,Success
15009,2,Internet,RoundTrip,16,91,3,Wed,JHBKTM,Malaysia,1,0,0,4.75,Success
15010,1,Internet,RoundTrip,17,40,6,Sat,JHBKTM,Malaysia,1,0,0,4.75,Fail
15011,1,Internet,RoundTrip,102,40,2,Wed,JHBKTM,Malaysia,1,0,0,4.75,Fail
15012,1,Internet,RoundTrip,31,31,6,Mon,JHBKTM,Malaysia,1,0,0,4.75,Fail
15013,1,Internet,RoundTrip,35,73,3,Tue,JHBKTM,Malaysia,1,0,0,4.75,Success
15014,1,Internet,RoundTrip,57,46,10,Tue,JHBKTM,Malaysia,1,0,0,4.75,Fail
15015,1,Internet,RoundTrip,0,23,8,Tue,JHBKTM,Malaysia,0,0,0,4.75,Success
15016,1,Internet,RoundTrip,21,34,8,Mon,JHBKTM,Malaysia,1,0,0,4.75,Fail
15017,1,Internet,RoundTrip,13,37,9,Tue,JHBKTM,Malaysia,1,0,0,4.75,Fail
15018,1,Internet,RoundTrip,82,69,1,Tue,JHBKTM,Malaysia,1,0,1,4.75,Success
15019,1,Internet,RoundTrip,22,24,11,Sun,JHBKTM,Malaysia,0,0,0,4.75,Fail
15020,1,Internet,RoundTrip,22,53,5,Tue,JHBKTM,Malaysia,1,0,0,4.75,Success
15021,1,Internet,RoundTrip,68,55,2,Fri,JHBKTM,Malaysia,1,0,1,4.75,Success
15022,1,Internet,RoundTrip,23,61,7,Fri,JHBKTM,Malaysia,1,0,0,4.75,Success
15023,1,Internet,RoundTrip,29,60,12,Sun,JHBKTM,Malaysia,1,0,0,4.75,Fail
15024,1,Internet,RoundTrip,4,74,5,Thu,JHBKTM,Malaysia,1,0,0,4.75,Success
15025,1,Internet,RoundTrip,15,60,7,Tue,JHBKTM,Malaysia,1,0,1,4.75,Success
15026,1,Internet,RoundTrip,19,31,1,Mon,JHBKTM,Malaysia,1,0,0,4.75,Success
15027,3,Internet,RoundTrip,17,35,8,Fri,JHBKTM,Malaysia,1,0,0,4.75,Fail
15028,1,Internet,RoundTrip,81,81,8,Wed,JHBKTM,Malaysia,1,0,0,4.75,Fail
15029,1,Internet,RoundTrip,50,29,2,Tue,JHBKTM,Malaysia,1,0,0,4.75,Fail
15030,1,Internet,RoundTrip,3,111,3,Sun,JHBKTM,Malaysia,1,0,0,4.75,Fail
15031,1,Internet,RoundTrip,13,61,4,Wed,JHBKTM,Malaysia,1,0,0,4.75,Fail
15032,1,Internet,RoundTrip,17,91,1,Tue,JHBKTM,Malaysia,1,0,0,4.75,Fail
15033,1,Internet,RoundTrip,1,49,4,Wed,JHBKTM,Malaysia,1,0,1,4.75,Fail
15034,1,Internet,RoundTrip,8,59,8,Thu,JHBKTM,Malaysia,1,0,1,4.75,Success
15035,1,Internet,RoundTrip,71,61,8,Tue,JHBKTM,Malaysia,1,0,0,4.75,Success
15036,1,Internet,RoundTrip,2,62,5,Sat,JHBKTM,Malaysia,1,0,0,4.75,Fail
15037,1,Internet,RoundTrip,35,57,6,Wed,JHBKTM,Malaysia,1,0,0,4.75,Fail
15038,1,Internet,RoundTrip,7,91,2,Wed,JHBKTM,Malaysia,1,0,0,4.75,Success
15039,1,Internet,RoundTrip,10,59,4,Mon,JHBKTM,Malaysia,1,0,0,4.75,Fail
15040,1,Internet,RoundTrip,34,63,4,Tue,JHBKTM,Malaysia,1,0,0,4.75,Success
15041,1,Internet,RoundTrip,6,66,7,Fri,JHBKTM,Malaysia,0,0,0,4.75,Fail
15042,1,Internet,RoundTrip,97,32,5,Tue,JHBKTM,Malaysia,1,0,0,4.75,Fail
15043,1,Internet,RoundTrip,33,44,13,Tue,JHBKTM,Malaysia,1,1,1,4.75,Success
15044,1,Internet,RoundTrip,4,24,8,Fri,JHBKTM,Malaysia,0,0,0,4.75,Fail
15045,1,Internet,RoundTrip,47,74,10,Wed,JHBKTM,Malaysia,1,0,0,4.75,Fail
15046,1,Internet,RoundTrip,64,77,2,Thu,JHBKTM,Malaysia,1,0,0,4.75,Fail
15047,1,Internet,RoundTrip,29,37,7,Tue,JHBKTM,Malaysia,1,0,0,4.75,Fail
15048,1,Mobile,RoundTrip,1,46,9,Wed,JHBKTM,Malaysia,1,0,0,4.75,Success
15049,1,Internet,RoundTrip,1,62,11,Fri,JHBKTM,Malaysia,0,0,0,4.75,Success
15050,1,Internet,RoundTrip,53,27,9,Thu,JHBKTM,Malaysia,1,0,0,4.75,Success
15051,1,Internet,RoundTrip,1,93,10,Mon,JHBKTM,Malaysia,0,0,0,4.75,Fail
15052,1,Internet,RoundTrip,18,45,4,Tue,JHBKTM,Malaysia,1,0,0,4.75,Success
15053,1,Internet,RoundTrip,45,60,1,Fri,JHBKTM,Malaysia,1,0,0,4.75,Fail
15054,1,Internet,RoundTrip,2,61,5,Fri,JHBKTM,Malaysia,1,0,0,4.75,Success
15055,1,Mobile,RoundTrip,103,62,10,Mon,JHBKTM,Malaysia,1,0,0,4.75,Fail
15056,1,Internet,RoundTrip,5,42,3,Wed,JHBKTM,Malaysia,1,0,0,4.75,Fail
15057,1,Internet,RoundTrip,10,20,10,Fri,JHBKTM,Malaysia,1,0,1,4.75,Success
15058,1,Internet,RoundTrip,10,66,2,Mon,JHBKTM,Malaysia,1,0,0,4.75,Fail
15059,2,Internet,RoundTrip,47,61,8,Tue,JHBKTM,Malaysia,1,0,0,4.75,Fail
15060,1,Internet,RoundTrip,40,43,3,Wed,JHBKTM,Malaysia,1,0,0,4.75,Fail
15061,1,Internet,RoundTrip,8,57,3,Sat,JHBKTM,Malaysia,1,0,0,4.75,Fail
15062,1,Internet,RoundTrip,10,62,8,Tue,JHBKTM,Malaysia,1,0,0,4.75,Success
15063,4,Internet,RoundTrip,0,60,2,Mon,JHBKTM,Malaysia,1,0,0,4.75,Fail
15064,1,Internet,RoundTrip,10,33,2,Sat,JHBKTM,Malaysia,1,0,0,4.75,Fail
15065,1,Internet,RoundTrip,3,60,4,Mon,JHBKTM,Malaysia,1,0,0,4.75,Success
15066,1,Internet,RoundTrip,21,58,5,Wed,JHBKTM,Malaysia,1,0,0,4.75,Fail
15067,1,Internet,RoundTrip,20,65,8,Thu,JHBKTM,Malaysia,1,0,0,4.75,Success
15068,1,Internet,RoundTrip,13,97,9,Fri,JHBKTM,Malaysia,1,0,0,4.75,Fail
15069,1,Internet,RoundTrip,38,60,2,Fri,JHBKTM,Malaysia,1,0,0,4.75,Success
15070,1,Internet,RoundTrip,12,46,6,Wed,JHBKTM,Malaysia,1,0,0,4.75,Fail
15071,1,Internet,RoundTrip,4,91,0,Fri,JHBKTM,Malaysia,1,1,1,4.75,Success
15072,2,Internet,RoundTrip,1,59,2,Thu,JHBKTM,Malaysia,1,0,0,4.75,Fail
15073,1,Internet,RoundTrip,27,44,3,Thu,JHBKTM,Malaysia,1,0,0,4.75,Success
15074,1,Internet,RoundTrip,40,63,2,Tue,JHBKTM,Malaysia,1,0,0,4.75,Success
15075,1,Internet,RoundTrip,9,46,8,Mon,JHBKTM,Malaysia,1,0,0,4.75,Success
15076,1,Internet,RoundTrip,22,60,14,Thu,JHBKTM,Malaysia,1,0,0,4.75,Success
15077,1,Internet,RoundTrip,28,83,6,Tue,JHBKTM,Malaysia,1,0,0,4.75,Success
15078,1,Internet,RoundTrip,5,31,5,Wed,JHBKTM,Malaysia,0,0,0,4.75,Fail
15079,2,Internet,RoundTrip,7,61,8,Sat,JHBKTM,Malaysia,1,0,0,4.75,Success
15080,2,Internet,RoundTrip,12,29,9,Fri,JHBKTM,Malaysia,1,1,1,4.75,Fail
15081,1,Internet,RoundTrip,72,69,10,Fri,JHBKTM,Malaysia,1,0,1,4.75,Success
15082,1,Internet,RoundTrip,10,27,3,Wed,JHBKTM,Malaysia,1,0,1,4.75,Fail
15083,2,Internet,RoundTrip,3,90,5,Fri,JHBKTM,Malaysia,1,0,0,4.75,Fail
15084,1,Internet,RoundTrip,19,44,2,Tue,JHBKTM,Malaysia,1,0,0,4.75,Success
15085,1,Internet,RoundTrip,10,62,4,Fri,JHBKTM,Malaysia,1,0,0,4.75,Fail
15086,1,Internet,RoundTrip,4,68,8,Tue,JHBKTM,Malaysia,1,0,0,4.75,Fail
15087,1,Internet,RoundTrip,4,20,2,Wed,JHBKTM,Malaysia,1,0,0,4.75,Fail
15088,1,Internet,RoundTrip,34,80,3,Tue,JHBKTM,Malaysia,1,0,0,4.75,Success
15089,1,Internet,RoundTrip,0,61,2,Mon,JHBKTM,Malaysia,0,0,0,4.75,Fail
15090,1,Internet,RoundTrip,8,90,9,Fri,JHBKTM,Malaysia,1,0,0,4.75,Fail
15091,1,Internet,RoundTrip,16,61,2,Fri,JHBKTM,Malaysia,1,0,1,4.75,Success
15092,1,Internet,RoundTrip,1,22,2,Mon,JHBKTM,Malaysia,0,0,0,4.75,Fail
15093,1,Internet,RoundTrip,2,88,3,Thu,JHBKTM,Malaysia,1,0,0,4.75,Success
15094,1,Internet,RoundTrip,74,64,3,Thu,JHBKTM,Malaysia,1,0,1,4.75,Success
15095,1,Internet,RoundTrip,12,63,3,Tue,JHBKTM,Malaysia,1,0,0,4.75,Success
15096,1,Internet,RoundTrip,48,21,8,Mon,JHBKTM,Malaysia,1,0,0,4.75,Success
15097,2,Internet,RoundTrip,13,89,10,Thu,JHBKTM,Malaysia,1,0,0,4.75,Fail
15098,1,Internet,RoundTrip,17,55,7,Fri,JHBKTM,Singapore,1,0,0,4.75,Fail
